supplier_id,name,website,hq_country,hq_city,category,specialty,certifications,notes,n_products_in_db,n_companies_in_db,priority_level,primary_scraping_method,llm_evaluation,catalog_paths,bot_protected,login_wall_detected
19,Jost Chemical,https://www.jostchemical.com,USA,St. Louis MO,Mineral Salt Manufacturer,"High-purity mineral salts: magnesium, zinc, calcium, iron, potassium","USP, FCC, ACS, cGMP",Specializes in ultra-high-purity mineral salts for pharmaceutical and nutraceutical use,191,44,Normal,Static/Requests,VIABLE,"https://www.jostchemical.com/products/ultra-pure-minerals-low-heavy-metals/, https://www.jostchemical.com/products/copper/, /products/",False,False
20,Koster Keunen,https://www.kosterkeunen.com,USA,Watertown CT,Wax & Lipid Ingredient Supplier,"Natural waxes, beeswax, carnauba wax, lipid excipients","Kosher, Non-GMO","Leading supplier of natural waxes for supplement coatings, lip care, and food applications",7,5,Normal,Dynamic/Selenium,VIABLE,https://www.kosterkeunen.com/products/,True,False
21,Magtein / ThreoTech LLC,https://www.magtein.com,USA,San Jose CA,Branded Ingredient Licensor,Magnesium L-threonate (Magtein),"Patented, cGMP",Exclusive supplier of Magtein (MgT); patented magnesium form shown to cross blood-brain barrier; MIT-developed,1,1,Normal,Failed,NO_DATA,,False,False
23,Mueggenburg USA,https://www.mueggenburg.com,USA,Houston TX,Chemical & Ingredient Distributor,"Specialty chemicals, food-grade raw materials, cosmetic ingredients",Varies by product,"Mid-size specialty distributor; broad portfolio across food, pharma, and personal care",30,12,Normal,Failed,NO_DATA,,False,False
24,Nutra Blend,https://www.nutrablend.com,USA,Neosho MO,Animal & Human Nutrition Ingredient Blender,"Vitamin/mineral premixes, custom blends","cGMP, FDA-registered",Primarily animal nutrition; also produces human nutrition vitamin/mineral premixes,9,6,Normal,Dynamic/Selenium,REQUIRES_LOGIN,/productsandservices,True,False
25,Nutra Food Ingredients,https://www.nutrafoodingredients.com,USA,San Diego CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, botanical extracts",Varies by product,Specialty distributor focused on nutraceutical and functional food markets,11,9,Normal,Dynamic/Selenium,VIABLE,/products/,True,False
26,Nutri Avenue,https://www.nutriavenue.com,USA,Pomona CA,Bulk Ingredient Distributor,"Amino acids, vitamins, plant extracts, sports nutrition inputs","cGMP, ISO",B2B bulk ingredient supplier with broad catalog; competitive pricing,7,4,Normal,Dynamic/Selenium,NO_DATA,,True,False
27,Prinova USA,https://www.prinovausa.com,USA,Carol Stream IL,Global Ingredient Distributor,"Amino acids, vitamins, minerals, proteins, botanical extracts","Kosher, Halal, Non-GMO, Organic",One of the largest US ingredient distributors; huge catalog breadth across all supplement categories,408,60,Normal,Dynamic/Selenium,REQUIRES_LOGIN,"/eu/en/ingredients/vitamins-derivatives, /eu/en/ingredients/digestive-support, /eu/en/ingredients/workout-support",True,False
28,PureBulk,https://www.purebulk.com,USA,Roseburg OR,Direct Bulk Ingredient Supplier,"Vitamins, minerals, amino acids, nootropics, botanicals","cGMP, ISO 9001, Kosher",Direct-to-consumer and B2B bulk ingredients; very broad catalog; transparent lab testing,316,52,High,Dynamic/Selenium,VIABLE,"/products/n-acetyl-l-cysteine-nac, /products/cholecalciferol-vitamin-d3, /products/dhea-pregnenolone-1-1",True,False
30,Sensient,https://www.sensientfoodcolors.com,USA,Milwaukee WI,Color & Flavor Ingredient Manufacturer,"Natural colors, synthetic colors, flavor systems, specialty extracts","Kosher, Halal, Non-GMO, Organic",Global leader in natural and synthetic food colors; also produces flavors and specialty ingredient systems,7,3,Normal,Static/Requests,VIABLE,,False,False
31,Source-Omega LLC,https://www.source-omega.com,USA,Chapel Hill NC,Algae Omega-3 Ingredient Supplier,"Algal DHA/EPA, vegan omega-3 concentrates","Vegan, Non-GMO, Kosher",Specialty supplier of plant-based/algae-derived omega-3 fatty acids; vegan alternative to fish oil,1,1,Normal,Static/Requests,VIABLE,"/shop/omega-3--122/, http://www.source-omega.com/shop/omega-3--122.htm",False,False
32,Specialty Enzymes & Probiotics,https://www.specialtyenzymes.com,USA,Chino CA,Enzyme & Probiotic Ingredient Manufacturer,"Digestive enzymes, systemic enzymes, probiotic cultures","Kosher, Halal, cGMP",US manufacturer of enzyme blends and probiotic ingredients for dietary supplements,3,3,Normal,Dynamic/Selenium,REQUIRES_LOGIN,"https://specialtyenzymes.com/products/sports-nutrition/, http://specialtyenzymes.com/products/systemic-enzymes/, https://specialtyenzymes.com/products/systemic-enzymes/peptizyme-sp/",True,False
33,Spectrum Chemical,https://www.spectrumchemical.com,USA,New Brunswick NJ,Laboratory & Industrial Chemical Distributor,"USP/NF reference standards, fine chemicals, lab reagents","USP, ACS, FCC, cGMP",Broad-catalog chemical distributor; USP-grade materials for pharma/nutra validation and production,7,7,Normal,Dynamic/Selenium,NO_DATA,,True,False
34,Stauber,https://www.stauber.com,USA,Fullerton CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, personal care inputs",Varies by product,"West Coast specialty distributor across food, supplement, and personal care markets",1,1,Normal,Failed,NO_DATA,,False,False
35,Strahl & Pitsch,https://www.strahlpitsch.com,USA,West Babylon NY,Wax & Specialty Lipid Manufacturer,"Natural waxes, beeswax, carnauba, rice bran wax, specialty fats","Kosher, Non-GMO",US manufacturer and importer of natural waxes and specialty fats for supplements and food coatings,7,5,Normal,Dynamic/Selenium,VIABLE,"/products/candle-waxes, /products/usp-nf-and-ep-monograph-waxes, /products/carnauba-wax",True,False
36,TCI America,https://www.tcichemicals.com,USA,Portland OR,Fine Chemical / Research Chemical Supplier,"High-purity fine chemicals, biochemicals, building blocks","ACS, EP, USP (varies)",US arm of TCI (Japan); primarily research-grade chemicals; pharma and specialty ingredient use,1,1,Normal,Failed,NO_DATA,,False,False
37,Trace Minerals,https://www.traceminerals.com,USA,Ogden UT,Mineral Ingredient Manufacturer,"ConcenTrace ionic minerals, trace mineral complexes, electrolytes","Non-GMO, Vegan, Gluten-free",Known for Great Salt Lake-derived trace mineral concentrates; strong in ionic/colloidal minerals,3,3,Normal,Dynamic/Selenium,VIABLE,"/products/zerolyte-canisters, /products/ionic-d3-k2, /products/concentrace-trace-mineral-drops",True,False
38,Univar Solutions,https://www.univarsolutions.com,USA,Downers Grove IL,Global Chemical & Ingredient Distributor,"Broad chemical distribution: citric acid, excipients, functional ingredients",Varies by product,"One of the world's largest chemical distributors; covers food, pharma, and industrial segments",32,24,Normal,Dynamic/Selenium,NO_DATA,,True,False
39,Virginia Dare,https://www.virginiadare.com,USA,Brooklyn NY,Flavor Ingredient Manufacturer,"Natural and artificial flavors, vanilla extracts, flavor systems","Kosher, Halal, Non-GMO",Specialty flavor house with 100+ year history; known for vanilla and custom flavor solutions,6,6,Normal,Static/Requests,NO_DATA,,False,False
