supplier_id,name,website,hq_country,hq_city,category,specialty,certifications,notes,n_products_in_db,n_companies_in_db
14,FutureCeuticals,https://www.futureceuticals.com,USA,Momence IL,Botanical & Whole Food Ingredient Manufacturer,"Fruit/vegetable powders, coffeeberry, sport performance actives","Organic, Non-GMO, Kosher","Vertically integrated from farm to ingredient; known for CoffeeBerry and CarnoSyn beta-alanine distribution",1,1
15,Gold Coast Ingredients,https://www.goldcoastingredients.com,USA,Commerce CA,Flavor & Ingredient Distributor,"Natural flavors, colors, sweeteners, functional food ingredients","Kosher, Halal, Organic","West Coast specialty ingredient distributor; strong in flavors and natural colors",47,31
16,IFF,https://www.iff.com,USA,New York NY,Global Flavor & Fragrance / Ingredient Manufacturer,"Natural flavors, extracts, enzymes, cultures, texturizers","Kosher, Halal, Non-GMO, Organic","One of the top 3 global flavor houses; acquired DuPont Nutrition & Biosciences (2021)",1,1
17,Icelandirect,https://www.icelandirect.com,USA,Seattle WA,Specialty Seafood Ingredient Importer,"Icelandic fish oil, omega-3 concentrates, marine ingredients","IFOS 5-star, Friend of the Sea, MSC","Direct importer of Icelandic marine oils; traceability from catch to capsule",1,1
18,Ingredion,https://www.ingredion.com,USA,Westchester IL,Global Starch & Ingredient Manufacturer,"Starches, maltodextrin, sweeteners, texturizers, plant proteins","Non-GMO, Organic, Kosher, Halal","Major global ingredient company; strong in clean-label texturizers and specialty starches",86,36
19,Jost Chemical,https://www.jostchemical.com,USA,St. Louis MO,Mineral Salt Manufacturer,"High-purity mineral salts: magnesium, zinc, calcium, iron, potassium","USP, FCC, ACS, cGMP","Specializes in ultra-high-purity mineral salts for pharmaceutical and nutraceutical use",191,44
20,Koster Keunen,https://www.kosterkeunen.com,USA,Watertown CT,Wax & Lipid Ingredient Supplier,"Natural waxes, beeswax, carnauba wax, lipid excipients","Kosher, Non-GMO","Leading supplier of natural waxes for supplement coatings, lip care, and food applications",7,5
21,Magtein / ThreoTech LLC,https://www.magtein.com,USA,San Jose CA,Branded Ingredient Licensor,"Magnesium L-threonate (Magtein)","Patented, cGMP","Exclusive supplier of Magtein (MgT); patented magnesium form shown to cross blood-brain barrier; MIT-developed",1,1
22,Makers Nutrition,https://www.makersnutrition.com,USA,Hauppauge NY,Contract Manufacturer,"Private label supplements, contract manufacturing, custom formulation","NSF, cGMP, FDA-registered","Full-service supplement contract manufacturer; not a raw ingredient supplier",1,1
23,Mueggenburg USA,https://www.mueggenburg.com,USA,Houston TX,Chemical & Ingredient Distributor,"Specialty chemicals, food-grade raw materials, cosmetic ingredients","Varies by product","Mid-size specialty distributor; broad portfolio across food, pharma, and personal care",30,12
24,Nutra Blend,https://www.nutrablend.com,USA,Neosho MO,Animal & Human Nutrition Ingredient Blender,"Vitamin/mineral premixes, custom blends","cGMP, FDA-registered","Primarily animal nutrition; also produces human nutrition vitamin/mineral premixes",9,6
25,Nutra Food Ingredients,https://www.nutrafoodingredients.com,USA,San Diego CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, botanical extracts","Varies by product","Specialty distributor focused on nutraceutical and functional food markets",11,9
26,Nutri Avenue,https://www.nutriavenue.com,USA,Pomona CA,Bulk Ingredient Distributor,"Amino acids, vitamins, plant extracts, sports nutrition inputs","cGMP, ISO","B2B bulk ingredient supplier with broad catalog; competitive pricing",7,4
27,Prinova USA,https://www.prinovausa.com,USA,Carol Stream IL,Global Ingredient Distributor,"Amino acids, vitamins, minerals, proteins, botanical extracts","Kosher, Halal, Non-GMO, Organic","One of the largest US ingredient distributors; huge catalog breadth across all supplement categories",408,60
28,PureBulk,https://www.purebulk.com,USA,Roseburg OR,Direct Bulk Ingredient Supplier,"Vitamins, minerals, amino acids, nootropics, botanicals","cGMP, ISO 9001, Kosher","Direct-to-consumer and B2B bulk ingredients; very broad catalog; transparent lab testing",316,52
29,Sawgrass Nutra Labs,https://www.sawgrassnutralabs.com,USA,Deerfield Beach FL,Contract Manufacturer,"Private label supplements, capsules, powders, softgels","NSF, cGMP","South Florida-based contract manufacturer; not a primary raw ingredient supplier",6,6
30,Sensient,https://www.sensientfoodcolors.com,USA,Milwaukee WI,Color & Flavor Ingredient Manufacturer,"Natural colors, synthetic colors, flavor systems, specialty extracts","Kosher, Halal, Non-GMO, Organic","Global leader in natural and synthetic food colors; also produces flavors and specialty ingredient systems",7,3
31,Source-Omega LLC,https://www.source-omega.com,USA,Chapel Hill NC,Algae Omega-3 Ingredient Supplier,"Algal DHA/EPA, vegan omega-3 concentrates","Vegan, Non-GMO, Kosher","Specialty supplier of plant-based/algae-derived omega-3 fatty acids; vegan alternative to fish oil",1,1
32,Specialty Enzymes & Probiotics,https://www.specialtyenzymes.com,USA,Chino CA,Enzyme & Probiotic Ingredient Manufacturer,"Digestive enzymes, systemic enzymes, probiotic cultures","Kosher, Halal, cGMP","US manufacturer of enzyme blends and probiotic ingredients for dietary supplements",3,3
33,Spectrum Chemical,https://www.spectrumchemical.com,USA,New Brunswick NJ,Laboratory & Industrial Chemical Distributor,"USP/NF reference standards, fine chemicals, lab reagents","USP, ACS, FCC, cGMP","Broad-catalog chemical distributor; USP-grade materials for pharma/nutra validation and production",7,7
34,Stauber,https://www.stauber.com,USA,Fullerton CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, personal care inputs","Varies by product","West Coast specialty distributor across food, supplement, and personal care markets",1,1
35,Strahl & Pitsch,https://www.strahlpitsch.com,USA,West Babylon NY,Wax & Specialty Lipid Manufacturer,"Natural waxes, beeswax, carnauba, rice bran wax, specialty fats","Kosher, Non-GMO","US manufacturer and importer of natural waxes and specialty fats for supplements and food coatings",7,5
36,TCI America,https://www.tcichemicals.com,USA,Portland OR,Fine Chemical / Research Chemical Supplier,"High-purity fine chemicals, biochemicals, building blocks","ACS, EP, USP (varies)","US arm of TCI (Japan); primarily research-grade chemicals; pharma and specialty ingredient use",1,1
37,Trace Minerals,https://www.traceminerals.com,USA,Ogden UT,Mineral Ingredient Manufacturer,"ConcenTrace ionic minerals, trace mineral complexes, electrolytes","Non-GMO, Vegan, Gluten-free","Known for Great Salt Lake-derived trace mineral concentrates; strong in ionic/colloidal minerals",3,3
38,Univar Solutions,https://www.univarsolutions.com,USA,Downers Grove IL,Global Chemical & Ingredient Distributor,"Broad chemical distribution: citric acid, excipients, functional ingredients","Varies by product","One of the world's largest chemical distributors; covers food, pharma, and industrial segments",32,24
39,Virginia Dare,https://www.virginiadare.com,USA,Brooklyn NY,Flavor Ingredient Manufacturer,"Natural and artificial flavors, vanilla extracts, flavor systems","Kosher, Halal, Non-GMO","Specialty flavor house with 100+ year history; known for vanilla and custom flavor solutions",6,6
40,Vitaquest,https://www.vitaquest.com,USA,West Caldwell NJ,Contract Manufacturer,"Custom supplement formulation, contract manufacturing, tablets/capsules/powders","NSF, Informed Sport, USP, cGMP","Premium supplement contract manufacturer; not a primary raw ingredient supplier",2,2
